student_name,branch,year,cgpa,coding_skills,dsa_score,ml_knowledge,frontend_skill,backend_skill,database_skill,cloud_computing,devops_skill,cybersecurity_skill,embedded_c,microcontrollers,arduino_skill,raspberry_pi_skill,rtos_knowledge,embedded_linux,firmware_development,device_drivers,digital_electronics,analog_electronics,pcb_design,circuit_design,vlsi_knowledge,verilog_vhdl,fpga_skill,iot_knowledge,sensor_integration,wireless_protocols,mqtt_protocol,edge_computing,robotics_skill,computer_vision,control_systems,ros_knowledge,communication_skills,leadership_score,problem_solving,teamwork_score,presentation_skill,innovation_score,projects_count,internships,preferred_role
Sagar M. Gowda,IT,2,6.77,90,88,17,75,81,72,65,25,42,38,27,33,30,34,44,0,11,23,13,45,29,10,0,33,5,58,45,49,21,23,27,10,44,64,71,72,71,23,14,5,1,Full Stack Developer
Sneha J. Iyer,Data Science,3,6.45,79,8,13,25,61,29,56,78,34,26,8,41,13,0,20,32,28,0,24,15,21,10,11,35,26,30,17,42,0,0,9,7,30,54,82,29,82,40,40,6,2,Cloud Engineer
Aditi J. Atluri,Civil,4,7.33,60,37,22,22,14,19,51,19,2,71,58,43,0,48,40,61,60,39,54,53,79,50,35,23,38,31,0,7,43,24,8,3,0,64,75,46,56,38,16,6,2,Embedded Engineer
Nikhil A. Iyer,Data Science,1,7.14,86,7,47,12,21,0,43,34,18,60,32,29,50,27,7,4,64,73,100,71,46,92,77,80,28,34,45,49,35,19,29,41,0,36,49,33,40,28,30,4,0,VLSI Engineer
Harini G. Ghosh,EEE,3,7.39,69,87,20,18,62,61,60,48,79,38,22,39,48,0,15,27,18,27,27,9,35,0,44,34,13,26,13,1,25,30,4,33,14,73,54,67,68,41,30,6,1,Backend Developer
Vishal S. Varma,Civil,3,7.11,66,32,14,30,19,10,25,40,33,62,66,51,21,16,42,22,18,29,24,37,2,19,23,35,65,59,25,35,35,68,83,70,74,49,47,25,71,28,50,6,2,Robotics Engineer
Madhav P. Arora,CSE,2,7.64,72,93,29,95,77,58,46,48,25,27,29,49,28,14,30,32,29,20,54,0,0,19,0,25,7,25,24,5,7,41,35,7,18,45,92,44,62,28,31,6,2,Full Stack Developer
Dev P. Krishnan,Data Science,2,6.7,64,77,73,4,43,61,55,16,23,43,8,17,31,54,0,7,32,44,22,14,30,19,7,18,23,54,25,9,22,10,97,10,4,56,57,54,87,36,25,6,2,ML Engineer
Yuvan N. Das,Mechanical,3,7.94,80,0,41,24,22,13,37,24,29,84,87,49,44,55,59,74,79,93,65,34,80,48,10,0,25,6,59,19,22,27,23,16,0,51,26,19,56,40,50,6,3,Embedded Engineer
Shreya T. Satyanarayana,Civil,3,6.93,73,25,0,20,5,14,12,0,38,50,44,41,60,0,18,12,66,54,64,29,55,77,64,60,0,23,0,52,19,37,21,31,30,50,62,35,56,21,41,7,2,VLSI Engineer
Anirudh D. Subramanian,AI&DS,4,7.02,84,73,68,44,11,84,49,34,5,39,27,33,7,11,17,39,47,25,33,35,9,16,62,47,26,44,25,21,17,33,84,18,27,49,54,56,77,12,57,8,4,ML Engineer
